Unique Identifier,"Carnegie Classification of Institutions of Higher Education (if your institution fits within a larger/home organization that has a Carnegie Classification, please indicate here)","If your home organization does not have a Carnegie Classification, please indicate your institution type:","If your home organization does not have a Carnegie Classification, please indicate your institution type: Other (please specify)",Are you responsible for purchasing or pledging financial support for digital content for your institution? Yes or No,Are you responsible for purchasing or pledging financial support for digital content for your institution? Other (please specify),Does your institution have an accessibility policy for digital content acquisition?,Does your institution have an accessibility policy for digital content acquisition? Other (please specify),Which mandate(s) inform your accessibility policy for content acquisition? Please select all that apply. Section 508 of the Rehabilitation Act of 1973,Which mandate(s) inform your accessibility policy for content acquisition? Please select all that apply. Americans with Disabilities Act,Which mandate(s) inform your accessibility policy for content acquisition? Please select all that apply. World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),Which mandate(s) inform your accessibility policy for content acquisition? Please select all that apply. State law governing my institution,Which mandate(s) inform your accessibility policy for content acquisition? Please select all that apply. Non-legal internal mandate,Which mandate(s) inform your accessibility policy for content acquisition? Please select all that apply. Non-legal institution-wide mandate,Which mandate(s) inform your accessibility policy for content acquisition? Please select all that apply. Other (please specify),Do you have a timeline for implementing your accessibility policy for content acquisition?,Do you have a timeline for implementing your accessibility policy for content acquisition? Other (please specify),"Who is responsible for updating your accessibility policy for content acquisition, and how often is it audited/updated?",What documentation do you request from content providers to enforce your accessibility policy? Please select all that apply. VPAT,What documentation do you request from content providers to enforce your accessibility policy? Please select all that apply. Accessibility Statement,What documentation do you request from content providers to enforce your accessibility policy? Please select all that apply. Accessibility language required for content license,What documentation do you request from content providers to enforce your accessibility policy? Please select all that apply. None,What documentation do you request from content providers to enforce your accessibility policy? Please select all that apply. Other (please specify),What training has been provided to help staff understand and implement your accessibility policy for content acquisition? Please select all that apply. In-person training from other staff,What training has been provided to help staff understand and implement your accessibility policy for content acquisition? Please select all that apply. In-person training from external areas of the institution,What training has been provided to help staff understand and implement your accessibility policy for content acquisition? Please select all that apply. In-person training from outside of the institution,What training has been provided to help staff understand and implement your accessibility policy for content acquisition? Please select all that apply. Webinars/on-line courses,What training has been provided to help staff understand and implement your accessibility policy for content acquisition? Please select all that apply. Conferences/workshops,What training has been provided to help staff understand and implement your accessibility policy for content acquisition? Please select all that apply. Self-training,What training has been provided to help staff understand and implement your accessibility policy for content acquisition? Please select all that apply. None,What training has been provided to help staff understand and implement your accessibility policy for content acquisition? Please select all that apply. Other (please specify),"If your institution provides financial support for the creation of Open Access (OA) content, are you held to the same accessibility mandates as for licensed content?","If your institution provides financial support for the creation of Open Access (OA) content, are you held to the same accessibility mandates as for licensed content? Other (please specify)",How is your accessibility policy for content acquisition enforced?,Are you responsible for creating or collating digital content from within your institution? Yes or No,Are you responsible for creating or collating digital content from within your institution?  Other (please specify),What type of content are you creating and making available for your community? Please select all that apply. Theses and Dissertations,What type of content are you creating and making available for your community? Please select all that apply. Journals,What type of content are you creating and making available for your community? Please select all that apply. Monographs,What type of content are you creating and making available for your community? Please select all that apply. Born digital or digitized archival/special collections materials,What type of content are you creating and making available for your community? Please select all that apply. Scholarly articles/publications,What type of content are you creating and making available for your community? Please select all that apply. Audio/video content,What type of content are you creating and making available for your community? Please select all that apply. Other campus publications,Does your institution have an accessibility policy in place that applies to the content you create and make available on the World Wide Web?,Does your institution have an accessibility policy in place that applies to the content you create and make available on the World Wide Web? Other (please specify),Which mandate(s) inform your accessibility policy for content creation? Please select all that apply. Section 508 of the Rehabilitation Act of 1973,Which mandate(s) inform your accessibility policy for content creation? Please select all that apply. Americans with Disabilities Act,Which mandate(s) inform your accessibility policy for content creation? Please select all that apply. World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),Which mandate(s) inform your accessibility policy for content creation? Please select all that apply. State law governing my institution,Which mandate(s) inform your accessibility policy for content creation? Please select all that apply. Non-legal internal mandate,Which mandate(s) inform your accessibility policy for content creation? Please select all that apply. Non-legal institution-wide mandate,Which mandate(s) inform your accessibility policy for content creation? Please select all that apply. Other (please specify),Do you have a timeline for implementing your accessibility policy for content creation?,Do you have a timeline for implementing your accessibility policy for content creation? Other (please specify),"Who is responsible for updating your accessibility policy for content creation, and how often is it audited/updated?",Which tools/resources do you use to ensure your content conforms to the accessibility policy? WebAIM,Which tools/resources do you use to ensure your content conforms to the accessibility policy? WAVE Web Accessibility Evaluation Tool,Which tools/resources do you use to ensure your content conforms to the accessibility policy? AXE Accessibility,Which tools/resources do you use to ensure your content conforms to the accessibility policy? Built in screen reader(s),Which tools/resources do you use to ensure your content conforms to the accessibility policy? Manually tabbing through webpages,Which tools/resources do you use to ensure your content conforms to the accessibility policy? Accessibility features found in web browsers,Which tools/resources do you use to ensure your content conforms to the accessibility policy? None,Which tools/resources do you use to ensure your content conforms to the accessibility policy? ther (please specify),What training has been provided to help staff understand and implement your accessibility policy for content creation? Please select all that apply. In-person training from other staff,What training has been provided to help staff understand and implement your accessibility policy for content creation? Please select all that apply. In-person training from external areas of the institution,What training has been provided to help staff understand and implement your accessibility policy for content creation? Please select all that apply. In-person training from outside of the institution,What training has been provided to help staff understand and implement your accessibility policy for content creation? Please select all that apply. Webinars/on-line courses,What training has been provided to help staff understand and implement your accessibility policy for content creation? Please select all that apply. Conferences/workshops,What training has been provided to help staff understand and implement your accessibility policy for content creation? Please select all that apply. Self-training,What training has been provided to help staff understand and implement your accessibility policy for content creation? Please select all that apply. None,What training has been provided to help staff understand and implement your accessibility policy for content creation? Please select all that apply. Other (please specify),How is your accessibility policy for content creation enforced?,"Are you responsible for purchasing, acquiring or creating systems within your institution? Yes or No","Are you responsible for purchasing, acquiring or creating systems within your institution? Other (please specify)",Does your institution have an accessibility policy for determining which systems will be used to host content on the World Wide Web?,Does your institution have an accessibility policy for determining which systems will be used to host content on the World Wide Web? Other (please specify),Which mandate(s) inform your accessibility policy for systems? Please select all that apply. Section 508 of the Rehabilitation Act of 1973,Which mandate(s) inform your accessibility policy for systems? Please select all that apply. Americans with Disabilities Act,Which mandate(s) inform your accessibility policy for systems? Please select all that apply. World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),Which mandate(s) inform your accessibility policy for systems? Please select all that apply. State law governing my institution,Which mandate(s) inform your accessibility policy for systems? Please select all that apply. Non-legal internal mandate,Which mandate(s) inform your accessibility policy for systems? Please select all that apply. Non-legal institution-wide mandate,Which mandate(s) inform your accessibility policy for systems? Please select all that apply. Other (please specify),Do you have a timeline for implementing your accessibility policy for systems?,Do you have a timeline for implementing your accessibility policy for systems? Other (please specify),"Who is responsible for updating your accessibility policy for systems, and how often is it audited/updated?",Which tools/resources do you use to ensure your content conforms to the accessibility policy for systems? WebAIM,Which tools/resources do you use to ensure your content conforms to the accessibility policy  for systems? WAVE Web Accessibility Evaluation Tool,Which tools/resources do you use to ensure your content conforms to the accessibility policy for systems? AXE Accessibility,Which tools/resources do you use to ensure your content conforms to the accessibility policy for systems? Built in screen reader(s),Which tools/resources do you use to ensure your content conforms to the accessibility policy for systems? Manually tabbing through webpages,Which tools/resources do you use to ensure your content conforms to the accessibility policy for systems? Accessibility features found in web browsers,Which tools/resources do you use to ensure your content conforms to the accessibility policy for systems? None,Which tools/resources do you use to ensure your content conforms to the accessibility policy for systems? Other (please specify),What training has been provided to help staff understand and implement your accessibility policy for systems?  In-person training from other staff,What training has been provided to help staff understand and implement your accessibility policy for systems?  In-person training from external areas of the institution,What training has been provided to help staff understand and implement your accessibility policy for systems?  In-person training from outside of the institution,What training has been provided to help staff understand and implement your accessibility policy for systems?  Webinars/on-line courses,What training has been provided to help staff understand and implement your accessibility policy for systems?  Conferences/workshops,What training has been provided to help staff understand and implement your accessibility policy for systems?  Self-training,What training has been provided to help staff understand and implement your accessibility policy for systems?  None,What training has been provided to help staff understand and implement your accessibility policy for systems?  Other (please specify),"If your institution chooses to use Open Source Software (OSS), whether hosted locally or through a third party hosting agent, are those applications held to the same accessibility mandates as proprietary software?","If your institution chooses to use Open Source Software (OSS), whether hosted locally or through a third party hosting agent, are those applications held to the same accessibility mandates as proprietary software? Other (please specify)",How is your accessibility policy for systems enforced?
1,Doctoral University – Moderate Research Activity (R3),Other (please specify),Library with Museum/Archives,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Theses and Dissertations,,,Born digital or digitized archival/special collections materials,,Audio/video content,Other campus publications,"Yes – an informal policy, e.g. rule of thumb to generally follow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Doctoral University – Higher Research Activity (R2),,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Born digital or digitized archival/special collections materials,,,,"Yes - a formal policy, e.g. a written policy approved by relevant administration",,,,,,,,"not sure what things are called.  We go by all legally required policies, to the best of my knowledge.",Other (please specify),I don't know.,Don't know.,,,,,,,,don't know.,,,,,,,None,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Other ,Other (please specify),"state library, archives and museum",Other (please specify),"I'm at one approval level, but there's another above me, too.",Other (please specify),"We have a policy for content that will be hosted on our servers. Beyond that, we are encouraging our vendors to move toward WCAG 2.0 AA, but don't yet have a policy beyond that.",Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),,,,"As part of the STATE Dept. of Education and Early Development, we're under a court order to reach compliance for most of our online content. At this time, it doesn't include vendor content that is not at STATE.gov.",Other (please specify),"After June, we'll start taking down non-compliant material. End of December, all covered material must be compliant.","At this time, we're just trying to meet the court order deadline, and haven't worked this part out yet.",,,,,"Some sort of verification that they're WCAG AA compliant, or WCAG A compliant and working on AA",In-person training from other staff,In-person training from external areas of the institution,,Webinars/on-line courses,Conferences/workshops,Self-training,,,We do not contribute to OA Initiatives,,"As of June, IT will start taking down non-compliant content within our websites.",Yes,,,,,Born digital or digitized archival/special collections materials,Scholarly articles/publications,Audio/video content,Other campus publications,"Yes - a formal policy, e.g. a written policy approved by relevant administration",,Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),,,,Court order to parent agency,Other (please specify),"All new content must comply.  Old content must comply by June, or we'll start the takedown process.  All non-compliant content should be down by the end of December.","We're focusing on becoming compliant by the court order's deadline, so haven't worked this part out yet",WebAIM,WAVE Web Accessibility Evaluation Tool,,,,,,"Another tool that I don't remember the name of.  I don't work with it directly, but get reports of what's compliant or not in my sections.",In-person training from other staff,In-person training from external areas of the institution,,Webinars/on-line courses,Conferences/workshops,Self-training,,,"IT will start taking down non-compliant material at the end of June.  New content must be verified compliant by one of a few people with extra training, until someone has shown that they are able to create compliant material.  After that, they'll just be spot-checked.",Other (please specify),"There's another level for final monetary approval, but I determine whether to go for that or not.",Other (please specify),"these systems are often determined by a parent agency.  When we have control, we have an informal policy.",Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),,,,"Court order, as described before",Other (please specify),"New systems must conform at this time. Old systems in-house have until June.  Old systems not on STATE.gov have no specific deadline, but we're pushing towards accessibility","This has not yet been determined, as mentioned above",WebAIM,WAVE Web Accessibility Evaluation Tool,,,,,,"Another program, but I don't remember the name. I get reports.",In-person training from other staff,In-person training from external areas of the institution,,,,,,"Very little training has been provided outside IT on a systems level.  Mostly, information has been provided as needed.",Yes,,"We have to go through an approvals process before we can add software, open source or not, and checking accessibility issues is part of that process"
4,Other ,Other (please specify),Public Library ,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Born digital or digitized archival/special collections materials,,Audio/video content,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other (please specify),Selection of software but not the actual licensing or installatioon,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Other ,Other (please specify),Corporate Archives,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Born digital or digitized archival/special collections materials,,Audio/video content,,"Yes - a formal policy, e.g. a written policy approved by relevant administration",,,,,,Non-legal internal mandate,,,All content must conform with the policy at this time,,Client,,,,,,,None,,In-person training from other staff,,,,,,,,Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Master's College and University: Smaller programs (M3),,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,"Yes – an informal policy, e.g. rule of thumb to generally follow",,,Americans with Disabilities Act,,,Non-legal internal mandate,,,All systems must conform with the policy at this time,,Libary Director - 5 years,,,,,,,,We rely on vendor information,,,,,,Self-training,,,We do not utilize OSS,,"Loosely. We try to be accessible, but if we cant find affordible accessible content, then we wil take what we can get."
7,Other ,Other (please specify),Independent special collection,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Born digital or digitized archival/special collections materials,,Audio/video content,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Master's College and University: Larger programs (M1),,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Born digital or digitized archival/special collections materials,,Audio/video content,Other campus publications,"Yes - a formal policy, e.g. a written policy approved by relevant administration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Independent Archives,Independent Archives,,Other (please specify),Provide input but not final decision,Other (please specify),I am writing one,Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),State law governing my institution,,Non-legal institution-wide mandate,,Other (please specify),"In terms of the website, content is compliant. In terms of 3rd party content we create such as YouTube, it's not. In terms of content we purchase, much of our is not. ","For digital content, me. For other content, physical space, others. ",,Accessibility Statement,,,,,,,,Conferences/workshops,Self-training,,Nothing systematic. ,We do not contribute to OA Initiatives,,,Yes,,,,,Born digital or digitized archival/special collections materials,,Audio/video content,Other campus publications,Other (please specify),We have a general accessibility policy but if does not define our provide guidance for digital content. ,Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,,,Non-legal internal mandate,Non-legal institution-wide mandate,,Other (please specify),"Content hosted on the website and created internally is accessible. The rest including purchased content is compliant to a much lesser degree, is at all. ","For digital content, me. ",WebAIM,WAVE Web Accessibility Evaluation Tool,,Built in screen reader(s),Manually tabbing through webpages,Accessibility features found in web browsers,,,,,,,Conferences/workshops,Self-training,,Nothing system wise. ,It's not. ,Other (please specify),"For web related content, but not the ILS. ",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Master's College and University: Medium programs (M2),,,Yes,,"Yes - a formal policy, e.g. a written policy approved by relevant administration",,,Americans with Disabilities Act,,State law governing my institution,,Non-legal institution-wide mandate,,All content must conform with the policy at this time,,University Counsel / don't know how often updated,VPAT,,,,,,In-person training from external areas of the institution,,,,,,,We do not contribute to OA Initiatives,,Review of license agreements by University Counsel,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Other ,Other (please specify),special collections and archives unit within a smaller public library system,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Born digital or digitized archival/special collections materials,,,,"Yes – an informal policy, e.g. rule of thumb to generally follow",,,,,,,Non-legal institution-wide mandate,,All content must conform with the policy at this time,,I have no idea now that the Assistant Director who used to do this has retired and her position eliminated,,,,,,,None,,,,,,,,None,,I'm not sure that it is.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Master's College and University: Smaller programs (M3),,,Yes,,Other (please specify),policy under development ,Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),,,Non-legal institution-wide mandate,,Other (please specify),Timeline still under development ,,,,,None,,,,,,,Self-training,,,Yes,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
